movie_genre,artist,album_name,track_name
comedy,Stuart Thompson,Dandy Man,Pandas
comedy,Robert Schimmel,Life Since Then,17 Year Old
comedy,Mitch Fatel,Miniskirts and Muffins - EP,I Love My Penis
comedy,Louis Katz,If These Balls Could Talk,Being Healthy Sucks
comedy,Todd Glass,Todd Glass Talks About Stuff,Domestitated
comedy,Craig Shoemaker,The Last Stand (Up),Racist Room-Check
comedy,Andy Hendrickson,Dry Bar Comedy Presents: Left Field,Travel
comedy,Stuart Thompson,Dandy Man,God & Albuquerque
comedy,Ryan Dalton,You Were Funny Too,Weiner Dogs That Breathe Poop
comedy,Robert Schimmel,Life Since Then,Beating the Odds
comedy,D.L. Hughley,Notes from the G.E.D. Section,Genius of the Ged
comedy,Stephen Lynch,A Little Bit Special,Gerbil
comedy,Ralphie May,Just Correct,Martin Luther King
comedy,Christopher Titus,Angry Pursuit of Happiness,My Kids' School
comedy,Christian Finnegan,Two for Flinching,High Dance Threshold
comedy,Carl Barron,"Just for Laughs - The Archives, Vol. 57",One-Liners - Window Reflection (Jfl 2000)
comedy,Mike Birbiglia,My Girlfriend's Boyfriend,What's He Doing Here?
comedy,Ralphie May,Just Correct,Black and Mexican Bastards
comedy,Chas & Dave,Gertcha! The EMI Years,Gertcha - 2005 Remaster
comedy,Bert Kreischer,Bert Bert Bert,Married and Sex
comedy,Tim Wilson,Mr. Wilson Explains America,It Was America: Rock And Roll Lecture
comedy,Chad Daniels,Busy Being Awesome,Crap Ass Slut Ass
comedy,Mike Birbiglia,My Secret Public Journal,Porno for Parents
comedy,Anjelah Johnson,The Homecoming Show,My Dad Is Athletic
comedy,Stephen Lynch,Superhero,Priest - bonus live version
comedy,George Lopez,"It's Not Me, It's You",Latinos Work
comedy,Kyle Kinane,Death of the Party,Need Your Love
comedy,Bert Kreischer,Bert Bert Bert,"Kids, Girls and Advice"
comedy,Linda P,Just Divorced,Støttesang til Realititydeltagerne
comedy,Kathleen Madigan,Madigan Again,Afghanistan
comedy,Kathleen Madigan,Bothering Jesus,Naming Your Kids
comedy,George Lopez,Right Now Right Now,Dodger Games
comedy,The Lonely Island;Rihanna,Turtleneck & Chain (Explicit Version),Shy Ronnie 2: Ronnie & Clyde
comedy,Tenacious D,Tenacious D,Fuck Her Gently
comedy,Tommy Ryman,Bath Time with Tommy Ryman,Carmina Burrito
comedy,Keith Alberstadt,Walk It Off,Invention of Softball
comedy,Joe Zimmerman,Jeff Bezos,Jeff Bezos
comedy,Tom Papa,Human Mule,Whole Foods vs. Costco
comedy,David Spade,My Fake Problems,Hernia
comedy,Aaron Wilburn,Is That What You're Wearing?,It's Been Dry In Oklahoma
