movie,genre,title
Deliver_Us_from_Evil_(1973_film),Crime_film,Deliver Us from Evil (1973 film)
Deliver_Us_from_Evil_(1973_film),Drama_(film_and_television),Deliver Us from Evil (1973 film)
Demi_Lovato:_Stay_Strong,Documentary_film,Demi Lovato: Stay Strong
Descendants_(2015_film),Fantasy_film,Descendants (2015 film)
Descendants_(2015_film),Teen_film,Descendants (2015 film)
Descendants_(2015_film),Adventure_film,Descendants (2015 film)
Descendants_(2015_film),Musical_film,Descendants (2015 film)
Descendants_2,Fantasy_film,Descendants 2
Descendants_2,Teen_film,Descendants 2
Descendants_2,Musical_film,Descendants 2
Desejos_de_Mulher,Telenovela,Desejos de Mulher
Desperate_Romantics,Costume_drama,Desperate Romantics
Destino_de_Mujer,Romance_film,Destino de Mujer
Destino_de_Mujer,Telenovela,Destino de Mujer
Detention:_The_Siege_at_Johnson_High,Thriller_(genre),Detention: The Siege at Johnson High
Algo_habrán_hecho_por_la_historia_argentina,Documentary,Algo habrán hecho por la historia argentina
Algo_habrán_hecho_por_la_historia_de_Chile,Documentary,Algo habrán hecho por la historia de Chile
Hitler's_British_Girl,Documentary_television_series,Hitler's British Girl
Hitler's_SS:_Portrait_in_Evil,War_film,Hitler's SS: Portrait in Evil
Holding_the_Fort,Comedy,Holding the Fort
Holly_&_Stephen's_Saturday_Showdown,Children,Holly & Stephen's Saturday Showdown
Hollyrock-a-Bye_Baby,Animation,Hollyrock-a-Bye Baby
Hollyrock-a-Bye_Baby,Comedy_film,Hollyrock-a-Bye Baby
Home_(Mirbeau),Comedy_(drama),Home (Mirbeau)
Home_Sweetie_Home,Sitcom,Home Sweetie Home
Homeland_Security_(film),Drama_(film_and_television),Homeland Security (film)
Hope_Springs_(TV_series),Comedy_drama,Hope Springs (TV series)
Hos_Martin,Situation_Comedy,Hos Martin
Hot_Money,Crime_drama,Hot Money
Hotline_(1982_film),Horror_film,Hotline (1982 film)
Hotline_(1982_film),Drama_(film_and_television),Hotline (1982 film)
Hotline_(1982_film),Thriller_film,Hotline (1982 film)
Hounded_(film),Comedy,Hounded (film)
Hounded_(film),Adventure,Hounded (film)
House_Full_(TV_series),Telenovela,House Full (TV series)
House_of_Fortune,Lunar_New_Year,House of Fortune
"Housewife,_49",Drama,"Housewife, 49"
How_Beer_Saved_the_World,Documentary,How Beer Saved the World
How_to_Be_a_Composer,Music,How to Be a Composer
How_to_Build_a_Better_Boy,Romance_film,How to Build a Better Boy
How_to_Build_a_Better_Boy,Comedy_film,How to Build a Better Boy
How_to_Build_a_Better_Boy,Science_fiction_film,How to Build a Better Boy
How_to_Build_a_Better_Boy,Teen_film,How to Build a Better Boy
How_to_Eat_Like_a_Child,Musical_theatre,How to Eat Like a Child
How_to_Eat_Like_a_Child,Comedy,How to Eat Like a Child
Howzat!_Kerry_Packer's_War,Drama,Howzat! Kerry Packer's War
Howzat!_Kerry_Packer's_War,Miniseries,Howzat! Kerry Packer's War
Hoy_Gising!_Kapamilya,Public_affairs_(broadcasting),Hoy Gising! Kapamilya
Hrvatski_Top_Model,Reality_television,Hrvatski Top Model
Huckleberry_Finn_(1975_film),Adventure_film,Huckleberry Finn (1975 film)
Hung_Out,Sitcom,Hung Out
Hyakujuu_Sentai_Gaoranger,Superhero_fiction,Hyakujuu Sentai Gaoranger
Hyakujuu_Sentai_Gaoranger,Tokusatsu,Hyakujuu Sentai Gaoranger
Hyakujuu_Sentai_Gaoranger,Fantasy_fiction,Hyakujuu Sentai Gaoranger
John_Peel's_Record_Box,Television_documentary,John Peel's Record Box
John_Skipp,Satire,John Skipp
John_Skipp,Erotica,John Skipp
John_Skipp,Comedy,John Skipp
John_Skipp,Horror_fiction,John Skipp
John_Skipp,Fantasy,John Skipp
John_Skipp,Splatterpunk,John Skipp
John_Skipp,Bizarro_fiction,John Skipp
John_Skipp,Porn,John Skipp
John_Skipp,Social_criticism,John Skipp
Joys_of_Life,Period_drama,Joys of Life
Judgment_Day:_Intelligent_Design_on_Trial,Science,Judgment Day: Intelligent Design on Trial
Judgment_Day:_Intelligent_Design_on_Trial,Documentary_film,Judgment Day: Intelligent Design on Trial
Judgment_Day:_The_John_List_Story,Crime_film,Judgment Day: The John List Story
Little_House_on_the_Prairie_(film),Western_(genre),Little House on the Prairie (film)
Little_House_on_the_Prairie_(film),Dramatic_programming,Little House on the Prairie (film)
Little_Richard_(film),Biography,Little Richard (film)
Little_Richard_(film),Dramatic_programming,Little Richard (film)
Pat_and_Margaret,Comedy_drama,Pat and Margaret
Path_to_War,Biographical_film,Path to War
Paul_Haines_(fiction_writer),Horror_fiction,Paul Haines (fiction writer)
Paul_Haines_(fiction_writer),Speculative_fiction,Paul Haines (fiction writer)
Paul_O'Grady_Live,Entertainment,Paul O'Grady Live
Penn_State_Alma_Mater,Alma_mater_(song),Penn State Alma Mater
Peppa_Pig,Preschool,Peppa Pig
Perfect_Body,Drama_film,Perfect Body
Perfect_Gentlemen_(film),Comedy_film,Perfect Gentlemen (film)
Perfect_Hair_Forever,Surreal_humor,Perfect Hair Forever
Persuasion_(2007_film),Costume_drama,Persuasion (2007 film)
Peter_Himmelman,Blues,Peter Himmelman
Peter_Himmelman,Folk_music,Peter Himmelman
Peter_Himmelman,Folk_rock,Peter Himmelman
Peter_Sarstedt,Contemporary_folk_music,Peter Sarstedt
Peter_Sarstedt,Pop_music,Peter Sarstedt
Reign_of_the_Gargoyles,Syfy,Reign of the Gargoyles
Relic_of_an_Emissary,Historical_fiction,Relic of an Emissary
"Restol,_The_Special_Rescue_Squad",Science_fiction,"Restol, The Special Rescue Squad"
"Restol,_The_Special_Rescue_Squad",Mecha,"Restol, The Special Rescue Squad"
Return_of_the_Man_from_U.N.C.L.E.,Action_film,Return of the Man from U.N.C.L.E.
"Rich_Man,_Poor_Man_(miniseries)",Dramatic_programming,"Rich Man, Poor Man (miniseries)"
Ricky_Sprocket:_Showbiz_Boy,Comedy,Ricky Sprocket: Showbiz Boy
Ricky_Sprocket:_Showbiz_Boy,Sitcom,Ricky Sprocket: Showbiz Boy
Rincón_de_Luz,Telenovela,Rincón de Luz
Risas_amargas,Telenovela,Risas amargas
Ritual_of_Evil,Horror_film,Ritual of Evil
Ritual_of_Evil,Drama_(film_and_television),Ritual of Evil
Ugly_Alert,Romance_film,Ugly Alert
Ugly_Alert,Melodrama,Ugly Alert
Ullu_Baraye_Farokht_Nahi,Drama,Ullu Baraye Farokht Nahi
Ullu_Baraye_Farokht_Nahi,Social,Ullu Baraye Farokht Nahi
Ultraman_Ginga,Sci-Fi,Ultraman Ginga
Ultraman_Ginga,Superhero_fiction,Ultraman Ginga
Ultraman_Ginga,Action_fiction,Ultraman Ginga
Ultraman_Ginga,Tokusatsu,Ultraman Ginga
Ultraman_Ginga,Adventure_fiction,Ultraman Ginga
Ultraman_Ginga,Kaiju,Ultraman Ginga
Ultraman_Ginga,Kyodai_Hero,Ultraman Ginga
Ultraman_Max,Superhero_fiction,Ultraman Max
Ultraman_Max,Action_fiction,Ultraman Max
Ultraman_Max,Tokusatsu,Ultraman Max
Ultraman_Max,Adventure_fiction,Ultraman Max
Ultraman_Max,Science_fiction,Ultraman Max
Ultraman_Max,Kaiju,Ultraman Max
Ultraman_Max,Kyodai_Hero,Ultraman Max
Ultraman_Nexus,Horror_fiction,Ultraman Nexus
Ultraman_Nexus,Superhero_fiction,Ultraman Nexus
Ultraman_Nexus,Tokusatsu,Ultraman Nexus
Ultraman_Nexus,Fantasy,Ultraman Nexus
Ultraman_Nexus,Science_fiction,Ultraman Nexus
Ultraman_Nexus,Kaiju,Ultraman Nexus
Ultraman_Nexus,Kyodai_Hero,Ultraman Nexus
Ultraman_Orb,Superhero_fiction,Ultraman Orb
Ultraman_Orb,Tokusatsu,Ultraman Orb
Ultraman_Orb,Science_fiction,Ultraman Orb
Ultraman_Orb,Kaiju,Ultraman Orb
Ultraman_Orb,Kyodai_Hero,Ultraman Orb
Ultraseven_X,Cyberpunk,Ultraseven X
Ultraseven_X,Superhero_fiction,Ultraseven X
Ultraseven_X,Tokusatsu,Ultraseven X
Ultraseven_X,Science_fiction,Ultraseven X
Ultraseven_X,Isekai,Ultraseven X
Ultraseven_X,Kaiju,Ultraseven X
Ultraseven_X,Kyodai_Hero,Ultraseven X
Un_hijo_cayó_del_cielo,Telenovela,Un hijo cayó del cielo
Un_paso_al_abismo,Telenovela,Un paso al abismo
Un_solo_corazón,Telenovela,Un solo corazón
Una_familia_de_diez,Comedy,Una familia de diez
Una_limosna_de_amor,Telenovela,Una limosna de amor
Uncle_Urfi,Romance_film,Uncle Urfi
Uncle_Urfi,Comedy,Uncle Urfi
Uncle_Urfi,Tragedy,Uncle Urfi
Uncovering_Our_Earliest_Ancestor:_The_Link,Documentary_film,Uncovering Our Earliest Ancestor: The Link
Underbelly_Files:_Infiltration,Crime_drama,Underbelly Files: Infiltration
Underbelly_Files:_Tell_Them_Lucifer_was_Here,Crime_drama,Underbelly Files: Tell Them Lucifer was Here
